date,text
2026-03-16 21:23:13,"ЮГК не комментирует арест ее средств, находится в тесном взаимодействии с госорганами — РИА Новости со ссылкой на пресс-службу компании #UGLD"
2026-03-16 21:03:18,Рентабельность продаж бензина на АЗС России к середине марта упала ниже прошлогоднего уровня из-за роста оптовых цен на нефтепродукты — Ъ #EUTR
2026-03-16 20:18:14,"Еврокомиссия рекомендует странам ЕС, включая Венгрию и Словакию, готовиться к полному запрету на импорт нефти из России — еврокомиссар по энергетике Дан Йоргенсен #LKOH"
2026-03-16 19:57:28,Русал не видит рисков для российского рынка алюминия из-за ситуации вокруг Ирана и готов увеличить поставки при росте спроса на металл — РИА Новости #RUAL
2026-03-16 19:43:14,"ВУШ МСФО 2025 г.: выручка ₽12,07 млрд чистый убыток ₽2,30 млрд #WUSH"
2026-03-16 18:26:25,Акции ЮГК упали на 10% после наложения ареста на денежные средства компании #UGLD
2026-03-16 18:22:25,На денежные средства ЮГК наложен арест. Сумма составляет 32 141 541 000 рублей #UGLD
2026-03-16 18:19:41,"РУСАЛ РСБУ 2025 г.: выручка ₽164,04 млрд чистый убыток ₽5,7 млрд #RUAL"
2026-03-16 18:04:55,МНЕНИЕ: Ожидаем дивиденды Совкомбанка по итогам 2025 г. 60 коп. на акцию . Сохраняем целевую цену на уровне 20 руб. и рейтинг ПОКУПАТЬ — Ренессанс Капитал #SVCB
2026-03-16 17:37:54,"Полюс по итогам 2025 года нарастил капитальные затраты до рекордного уровня $2,18 млрд за счет инвестиций в действующие и перспективные проекты. Общие денежные затраты достигли $739 на унцию, главным образом в результате роста НДПИ на фоне более высокой средней цены реализации золота. Производство составило 2,53 млн унций, что соответствует ранее заявленному гайденсу в диапазоне 2,5–2,6 млн унций, EBITDA выросла до $6,35 млрд . Чистый долг компании составил около $7,1 млрд, показатель Net debt/EBITDA — около 1,1x. Таким образом компания в целом выполняет заявленные ориентиры и подтверждает репутацию одного из наиболее предсказуемых эмитентов в секторе, что является важным фактором для инвесторов. #PLZL"
2026-03-16 17:18:02,Путин разрешил Аэрофлоту увеличить долю в Аэромаре — крупнейшем поставщике питания для авиапассажиров — распоряжение #AFLT
2026-03-16 17:01:49,"Газпром РСБУ 2025 г.: выручка ₽5,846 трлн чистая прибыль ₽11,3 млрд #GAZP"
2026-03-16 16:57:59,"Telegram - незаконный мигрант, который работает в России, но ее законов не соблюдает и подлежит депортации — замкомитета Госдумы по информполитике Олег Матвейчев #VKCO"
2026-03-16 16:29:23,Власти Петербурга рассматривают возможность введения полного запрета на въезд в исторический центр города на электросамокатах #WUSH #MTSS
2026-03-16 16:04:30,"Счетная палата собирается проверить тарифы Почты России и Ростелекома при предоставлении ими услуг для госорганов и судов — Парламентская газета #RTKM Как отметила аудитор Счетной палаты Светлана Орлова, комплексная проверка информационной судебной системы уже выявила отсутствие единого информационного пространства и завышенные тарифы Почты России и Ростелекома. Конечно, они должны снижать тарифы. Но здесь технологию должна разработать ФАС, которая за этим следит, — сказала аудитор."
2026-03-16 15:20:44,Еврокомиссар по энергетике: Мы не хотим повторять ошибок прошлого и не будем импортировать из России ни одной молекулы газа #GAZP #NVTK
2026-03-16 15:15:26,"Гемабанк рассматривает возможность размещения до 3,3 млн дополнительных обыкновенных акций по открытой подписке #GEMA Окончательное решение о размещении и его условиях будет принято Общим собранием акционеров 7 апреля 2026 года."
2026-03-16 14:10:00,"За год число активных резюме на одну открытую вакансию увеличилось почти вдвое #HEAD В феврале 2026 показатель составлял 9,6 ."
2026-03-16 13:52:36,ФАС исключила более 3 млрд рублей из тарифов на услуги в морских портах в 2025 году #NMTP #FESH
2026-03-16 13:45:29,"Украинцы ремонтируют нефтепровод Дружба в поте лица — еврокомиссар по энергетике Дан Йоргенсен #TRNFP У нас была утром встреча с украинцами, которые заявили, что работают так быстро, как только могут, чтобы отремонтировать нефтепровод, — заявил Йоргенсен."
2026-03-16 13:32:57,Только 9% крупных российских банков в 2026 году ожидают снижения чистой прибыли — РБК со ссылкой на исследование НКР и Б1 #VTBR #SVCB
2026-03-16 13:30:37,МНЕНИЕ: По итогам года за 4 квартал Полюс может заплатить дивиденды в размере около ₽55 на акцию — Market Power #PLZL
2026-03-16 13:24:03,Индийский замминистра торговли: Мы закупаем российскую нефть. Объемы закупок у России возросли #ROSN #LKOH
2026-03-16 13:02:27,"Количество выданных автокредитов в феврале 2026 года снизилось на 7,4% м/м до 1,49 млн ед — НБКИ #SBER"
2026-03-16 12:54:04,"Китай ограничивает экспорт удобрений — Bloomberg #PHOR По словам источников, знакомых с ситуацией, правительство попросило экспортеров приостановить вывоз азотно-калийных удобрений. Пекин также подтвердил существующие ограничения на экспорт карбамида"
2026-03-16 12:33:03,"Объем продаж АПРИ в январе-феврале 2026 года вырос в 5,4 раза г/г до 31,02 тыс кв м — операционные результаты #APRI Объем продаж в денежном выражении также увеличился в 5,4 раза и составил 4,74 млрд руб. Стоит отметить, что строительный рынок становится все более сбалансированным: спрос на рыночную ипотеку растет по мере снижения ставки, а помимо механизмов льготной ипотеки набирают популярность альтернативные методы стимулирования продаж. При этом новые проекты запускаются осторожно, что, по прогнозам аналитиков, создает предпосылки дефицита предложения объектов в высокой степени готовности уже в среднесрочной перспективе в основных регионах нашего присутствия. На этом фоне АПРИ оказывается в выигрышной позиции: с уровнем стройготовности 65% и высоким качеством застройки мы готовы удовлетворить растущий спрос, - председатель СД АПРИ Алексей Овакимян."
2026-03-16 12:30:16,В конце 2025 года количество случаев продажи квартир из-за ипотечных долгов выросло вдвое — Известия #SBER
2026-03-16 12:22:37,МНЕНИЕ: Котировки акций Х5 могут подняться до 2700 руб. в ближайшие месяцы — ВТБ Моя Аналитика #X5
2026-03-16 12:09:48,В акциях дочек и сынишек ТНС Энерго сегодня всеобъемлющий рост после выхода отчетностей по РСБУ... ну или по какой-другой причине #YRSB #MISB
2026-03-16 11:50:21,"Производство стали в Китае за январь-февраль 2026 года снизилось на 3,6% г/г до 160 млн т — Bloomberg #CHMF"
2026-03-16 11:39:36,"Алюминиевый завод South32 в Мозамбике, второй по величине в Южном полушарии, приостановил работу из-за высоких цен на электроэнергию — Bloomberg #RUAL"
2026-03-16 11:20:28,"МНЕНИЕ: Дефицит алюминия на мировом рынке в 2026 году способен спровоцировать рост издержек и конечных цен в производственном секторе — эксперты, опрошенные РИА Новости #RUAL"
2026-03-16 11:03:36,"ТГК-2 РСБУ 2025 год: Выручка ₽52,05 млрд Чистая прибыль ₽1,64 млрд против прибыли ₽16,7 млн годом ранее #TGKBP"
2026-03-16 11:01:03,"Полюс подтверждает ранее озвученный объем производства золота на 2026 год в диапазоне 2,5 млн - 2,6 млн унций #PLZL"
2026-03-16 10:59:10,"Капзатраты Полюса в 2025 году выросли на 73% г/г до рекордных $2,18 млрд, прогноз на 2026 год - $2,2-2,5 млрд #PLZL Полюс вошел в новый цикл роста, в рамках которого нам предстоят масштабные инвестиции в развитие предприятий. Уже в 2025 году они составили рекордные за всю историю Компании $2,2 млрд, - Алексей Востоков, гендиректор компании."
2026-03-16 10:56:08,"Объем производства золота Полюсом в 2025 году снизился на 16% г/г до 2,52 млн унций, объем реализации снизился на 18% до 2,53 млн унций #PLZL"
2026-03-16 10:38:30,"Чистая прибыль Полюса по РСБУ за 2025 год составила 2,12 трлн руб против 0,7 трлн руб годом ранее #PLZL"
2026-03-16 10:37:07,МНЕНИЕ: В 2026 прогнозируем рост чистой прибыли Совкомбанка на 68% г/г до 89 млрд ₽ — это самый сильный ожидаемый рост чистой прибыли в российском финансовом секторе — АТОН #SVCB
2026-03-16 10:30:17,"Полюс МСФО 2025 год: Выручка ₽695,1 млрд Прибыль ₽314,1 млрд #PLZL"
2026-03-16 10:12:09,"Акционерам ВУШ с утра захотелось покататься: вместо электросамокатов они выбрали акции, которые прибавляют более 4% #WUSH"
2026-03-16 10:03:53,"Россияне в январе 2026 год сняли с банковских карт и накопительных счетов ₽1,6 трлн - второй по величине отток за всю историю наблюдений — РБК #SBER #VTBR"
2026-03-16 09:26:55,Яндекс опроверг информацию Коммерсанта о сокращении сотрудников. Компания продолжает активно нанимать работников в разные сервисы. По итогам 2025 года численность основного персонала увеличилась на 9% и превысила 31 500 человек. Сейчас в Яндексе открыто почти 1 300 вакансий. #YDEX
2026-03-16 09:17:59,"Цены на российский высококалорийный уголь в Азии выросли из-за конфликта на Ближнем Востоке и скачка цен на газ. При этом российские угольщики смогут извлечь выгоду на премиальных рынках, таких как Южная Корея. В то время Китай, как главный покупатель угля в регионе, не готов платить премию за доставку — Ъ #MTLR #RASP"
2026-03-16 08:41:26,Яндекс может сократить часть сотрудников в поисковом направлении в рамках оптимизации штата — Ъ #YDEX
2026-03-16 08:02:09,"Цены на российскую пшеницу выросли до $238–240 за тонну на фоне удорожания углеводородов, прибавив $4 за неделю и достигли максимума за семь месяцев — Ъ #RAGR"
2026-03-16 07:51:27,Россия в феврале увеличила экспорт дизтоплива в Бразилию на 68% г/г и ищет новые рынки для нефтепродуктов на фоне отказа старых партнеров от закупок из-за санкций — Ъ #ROSN #LKOH
2026-03-16 07:42:12,"Доля операций нерезидентов на российском рынке акций во II половине 2025 года выросла втрое и превысила 3,5% от общего оборота — максимум за последние три года — Ъ #MOEX"
2026-03-16 07:31:00,МНЕНИЕ: Эксперты о временном смягчении санкций США на российскую нефть — Ведомости Смягчение носит технический характер и не направлено на конкретные компании Лицензия не означает устойчивого восстановления экспорта — это скорее временное решение на фоне кризиса поставок Запасы российской нефти на танкерах способны закрыть разрыв спроса и предложения лишь на несколько недель Санкции для администрации Трампа остаются инструментом политического давления #ROSN #LKOH
2026-03-15 16:55:17,"Алексей Миллер: В ПХГ крупнейших по газопотреблению стран уровень запасов значительно ниже среднего показателя по ЕС, именно это создает серьезные сложности для предстоящего сезона закачки #GAZP"
2026-03-15 16:36:44,В Бахрейне сокращают производство на крупнейшем в мире алюминиевом заводе — Bloomberg #RUAL
2026-03-14 16:16:14,"В хранилищах Нидерландов осталось всего 8,3% запасов газа - это минимальный уровень для 12 марта за всю историю наблюдений — Газпром #GAZP"
2026-03-14 15:46:53,"Доходность капитала - циклична, за каждым спадом ROE следовал рост. 2025 год не исключение — презентация Совкомбанка #SVCB"
2026-03-13 22:55:17,Трамп ослабляет санкции против Венесуэлы в отношении нефти и удобрений для американских предприятий и фермеров — Axios #PHOR
2026-03-13 22:38:36,"Орбан: без российского газа и нефти преодолеть нынешний энергетический кризис в Европе не удастся, а стратегия ЕС, направленная на изоляцию России, потерпела крах #GAZP"
2026-03-13 21:12:51,Яндекс направил в РКН и ФАС запросы о разъяснении ситуации с рекламой в Telegram — Forbes #YDEX
2026-03-13 20:50:56,"ТНС энерго Ростов-на-Дону РСБУ 2025 г.: выручка ₽76,94 млрд чистая прибыль ₽3,01 млрд #RTSB"
2026-03-13 20:45:28,"Интеррос сократил долю в Норникеле с 37% до 33,51%, передав 3,49% акций в Благотворительный фонд Владимира Потанина — Ъ #GMKN"
2026-03-13 20:36:11,"В Интер РАО заявили, что доля потерянных акционеров составляет 0,2%, и сумма приостановленных дивидендов будет незначительной — РБК #IRAO 27 марта СД Интер РАО рассмотрит вопрос о приостановлении выплаты дивидендов в отношении акционеров, с которыми утрачена связь."
2026-03-13 20:28:39,"ТНС энерго Марий Эл РСБУ 2025 г: выручка ₽11,72 млрд чистая прибыль ₽2,06 млрд #MISB"
2026-03-13 20:21:53,СД ГК Элемент 15 марта обсудит досрочное прекращение полномочий президента Ильи Иванцова и назначение нового руководителя #ELMT
2026-03-13 20:04:19,"ТНС энерго РСБУ 2025 г.: выручка ₽3,52 млрд чистая прибыль ₽10,02 млрд #TNSE"
2026-03-13 20:02:34,"ТНС энерго Воронеж РСБУ 2025 г.: выручка ₽42,12 млрд чистая прибыль ₽3,37 млрд #VRSB"
2026-03-13 19:40:09,"Суд по интеллектуальным правам поддержал Сбер в конфликте с компанией ФИТ и отменил решение о взыскании 1,445 млрд руб. с кредитной организации — РБК #SBER"
2026-03-13 19:13:21,"Акции IVA Technologies сегодня ракетят на 15% и вышли в лидеры роста, несмотря на отсутствие новостей #IVAT"
2026-03-13 18:16:42,"Соллерс готовится запустить новое производство рулевых колес, подушек и ремней безопасности, а также электронных блоков управления на индустриальной площадке УАЗ #SVAV"
2026-03-13 17:55:47,Эксперт РА перешло на ПО для управления динамической ИТ-инфраструктурой от Базиса #BAZA
2026-03-13 17:38:14,Наши санкции в отношении России по нефти вполне оправданы и мы не собираемся их отменять — пресс-секретарь Еврокомиссии Шивон Макгарри #SNGS
2026-03-13 17:26:29,МНЕНИЕ: Ренессанс Капитал начинает аналитическое покрытие ДОМ.РФ с целевой ценой 2 700 руб. на горизонте 12 месяцев и рейтингом ПОКУПАТЬ #DOMRF
2026-03-13 17:17:17,"Экспорт нефтепродуктов из России морским путем в феврале 2026 года сократился на 3,3% г/г до 7,97 млн т — Reuters #ROSN #LKOH #NMTP"
